image_name,classical_detected,yolo_detected,detection_gap
val_61.png,5,1,-4
val_30.png,3,2,-1
val_21.png,3,7,4
val_72.png,6,6,0
val_10.png,7,6,-1
val_17.png,1,3,2
val_44.png,4,5,1
val_0.png,5,5,0
val_79.png,4,6,2
val_27.png,4,4,0
val_52.png,3,4,1
val_68.png,3,3,0
val_63.png,3,4,1
val_8.png,5,6,1
val_3.png,5,6,1
val_11.png,2,6,4
val_15.png,2,3,1
val_65.png,6,7,1
val_57.png,5,6,1
val_49.png,2,4,2
val_16.png,2,3,1
val_4.png,4,4,0
val_20.png,4,8,4
val_76.png,3,2,-1
val_71.png,5,6,1
val_50.png,4,4,0
val_6.png,4,2,-2
val_23.png,4,3,-1
val_40.png,4,3,-1
val_66.png,3,6,3
val_43.png,3,5,2
val_22.png,5,3,-2
val_32.png,2,1,-1
val_7.png,5,6,1
val_24.png,4,3,-1
val_54.png,7,2,-5
val_31.png,1,4,3
val_55.png,5,5,0
val_18.png,4,4,0
val_69.png,5,5,0
val_42.png,6,7,1
val_51.png,3,2,-1
val_75.png,5,5,0
val_48.png,2,3,1
val_78.png,4,6,2
val_46.png,4,5,1
val_34.png,4,5,1
val_13.png,4,4,0
val_53.png,3,3,0
val_70.png,4,5,1
