shape,center_x,center_y,size,color_bgr,image_name
pentagon,383,168,56,"(0, 255, 0)",scene_000.png
circle,49,107,31,"(255, 0, 255)",scene_000.png
circle,351,214,41,"(0, 0, 255)",scene_000.png
rectangle,165,249,52,"(0, 0, 255)",scene_000.png
triangle,333,212,42,"(0, 255, 255)",scene_000.png
rectangle,369,133,36,"(255, 0, 0)",scene_000.png
triangle,116,106,46,"(255, 0, 255)",scene_000.png
rectangle,360,203,27,"(0, 255, 255)",scene_001.png
circle,362,354,54,"(255, 255, 0)",scene_001.png
square,300,97,27,"(0, 255, 0)",scene_001.png
rectangle,168,244,36,"(0, 255, 0)",scene_001.png
circle,400,124,56,"(0, 255, 255)",scene_001.png
square,429,222,43,"(0, 0, 255)",scene_001.png
pentagon,234,197,25,"(255, 0, 255)",scene_001.png
triangle,311,265,33,"(0, 255, 255)",scene_001.png
triangle,451,102,41,"(255, 255, 0)",scene_001.png
circle,287,302,56,"(255, 0, 255)",scene_001.png
square,189,313,52,"(255, 0, 255)",scene_001.png
pentagon,224,409,59,"(0, 255, 255)",scene_001.png
triangle,173,123,50,"(0, 255, 0)",scene_001.png
triangle,370,389,40,"(0, 255, 0)",scene_002.png
rectangle,398,300,39,"(255, 0, 0)",scene_002.png
square,283,234,60,"(0, 255, 0)",scene_002.png
pentagon,136,87,54,"(0, 255, 0)",scene_002.png
triangle,130,437,25,"(255, 255, 0)",scene_002.png
square,71,436,44,"(0, 255, 255)",scene_002.png
square,274,285,44,"(255, 255, 0)",scene_003.png
triangle,302,380,51,"(0, 0, 255)",scene_003.png
pentagon,335,180,44,"(255, 0, 255)",scene_003.png
circle,192,273,39,"(0, 0, 255)",scene_003.png
circle,139,254,31,"(255, 255, 0)",scene_003.png
triangle,56,168,25,"(0, 255, 0)",scene_003.png
circle,147,435,46,"(255, 255, 0)",scene_003.png
square,348,127,37,"(255, 0, 0)",scene_003.png
pentagon,192,306,59,"(255, 0, 255)",scene_003.png
rectangle,239,432,54,"(0, 255, 0)",scene_003.png
square,138,367,37,"(255, 255, 0)",scene_003.png
pentagon,280,370,36,"(0, 255, 0)",scene_003.png
rectangle,160,350,47,"(0, 0, 255)",scene_004.png
circle,341,427,59,"(0, 255, 255)",scene_004.png
square,99,251,55,"(0, 0, 255)",scene_004.png
pentagon,95,256,30,"(255, 0, 0)",scene_004.png
square,171,260,39,"(255, 0, 255)",scene_004.png
square,156,177,30,"(0, 255, 255)",scene_004.png
circle,306,191,46,"(0, 255, 0)",scene_004.png
pentagon,104,413,33,"(0, 0, 255)",scene_004.png
rectangle,250,327,25,"(0, 255, 255)",scene_004.png
triangle,420,382,46,"(0, 255, 255)",scene_004.png
square,197,260,49,"(0, 0, 255)",scene_004.png
pentagon,68,154,30,"(0, 255, 0)",scene_005.png
pentagon,434,290,54,"(255, 255, 0)",scene_005.png
circle,99,228,55,"(255, 255, 0)",scene_005.png
rectangle,258,117,47,"(0, 255, 255)",scene_005.png
circle,370,92,51,"(0, 255, 0)",scene_005.png
